564,2,619,4564,580,9720,4294,6934,1877
543,2,624,5516,2984,16844,268,450,67
544,2,619,6340,3364,10104,1432,3988,169
544,2,619,2088,1700,13424,3979,457,2626
544,2,623,4980,4580,9468,811,1581,1370
544,2,619,7952,4680,12996,1224,710,4596
544,2,618,2852,3656,14736,714,1067,303
544,2,615,3420,156,9008,3126,4844,4700
564,2,613,4520,768,14572,1980,1315,4037
557,2,610,6168,792,12732,452,3344,1280
546,2,614,7484,40,6772,1177,2222,161
564,2,605,6416,1576,12244,1137,1005,3035
544,2,611,4600,348,14268,1725,4857,1115
543,2,604,4984,1752,11092,383,6819,5107
563,2,603,8856,1392,15116,2515,800,1775
546,2,602,832,1380,14432,3255,3090,3486
544,2,600,4212,668,10232,502,533,750
544,2,606,5432,2072,11744,1875,2135,1152
544,2,605,6528,3544,12316,6155,2670,51
546,2,597,2132,224,6268,1610,1914,3313
564,2,595,7608,4352,13536,428,18,451
546,2,593,2640,92,16860,875,3886,119
544,2,593,3964,1488,10168,3231,2666,1213
564,2,594,8488,2180,9788,1020,1372,905
543,2,604,3864,1580,12100,2331,1137,882
544,2,599,6212,780,13800,2775,4117,1507
543,2,600,11052,788,12288,2727,239,1480
544,2,601,12300,344,3228,1377,5630,1066
564,2,602,4492,2668,11064,82,6231,1954
546,2,602,6304,3056,15880,1794,120,954
544,2,602,7288,4400,10112,1451,4577,4104
544,2,602,6104,2880,8640,2950,1209,862
544,2,609,6976,4204,11820,1234,4039,649
543,2,602,3224,3400,14516,905,3351,1464
564,2,601,8844,7636,12180,873,1528,512
544,2,600,972,2688,17284,1984,2379,2361
544,2,606,1468,128,11244,560,1260,1357
544,2,606,3876,236,14832,654,6349,690
544,2,600,11540,1660,10128,3885,363,1220
564,2,602,4976,780,10612,3217,98,769
543,2,604,7460,5144,14660,2692,1171,167
543,2,606,7576,5056,11324,227,1355,1439
564,2,607,4416,3756,9876,1247,337,984
543,2,609,6752,2152,12592,2364,805,482
544,2,609,10652,2936,15948,1664,1147,1145
564,2,610,5932,2500,9044,1366,4025,385
544,2,608,6232,3848,11580,95,2859,839
544,2,607,8472,3992,12132,1327,2502,1093
544,2,607,3172,2812,12936,81,3065,2196
546,2,614,6752,1248,10396,3254,1362,980
544,2,609,6924,428,13800,4779,1230,416
544,2,616,3676,3512,13300,3504,1045,2485
543,2,611,9948,6360,8132,1038,367,1734
563,2,610,5168,4212,14904,61,1399,135
544,2,610,132,1468,12136,1409,1349,403
546,2,610,6940,1124,7572,4748,3386,1333
544,2,610,11632,2748,9424,429,3738,1188
563,2,611,5488,2580,11012,9,1749,2341
544,2,612,12508,5728,5812,1907,1624,323
544,2,611,6048,2828,9924,1746,1880,454
544,2,616,2188,2716,11776,3969,1212,3772
546,2,611,10380,684,7788,2084,6250,2389
544,2,611,10888,888,13756,937,3347,4655
546,2,613,10784,1872,9044,5849,1512,778
546,2,613,8608,5948,7520,233,2027,1237
544,2,612,11516,3388,8556,544,1400,107
564,2,612,4148,1032,12220,742,4351,4522
544,2,618,8612,1996,9104,5273,520,1741
543,2,612,10948,3648,9648,3306,379,2101
543,2,612,6736,3772,11536,1205,445,3456
544,2,612,6900,3920,7692,873,1104,932
563,2,610,10200,3672,8384,1075,1988,873
544,2,616,8620,848,12076,32,1172,1937
546,2,610,4384,1440,17080,722,2454,556
543,2,616,9092,568,10344,2340,822,1098
